,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
21,,,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,0,0.873096447,0,0,0,0,0,0,,0,0,,0,0.00234192,0,0.055944056,0.029142186,0.471428571,0,0,0,0,0,0,0,0.753549696,0,0,0,0,0,0
22,,,,,,,,,,,,,,0,,0,0,0,,0.211538462,0,,0,0,0,0,0,0.028409091,0,0,0,0,,0,0,,0,0,0.007220217,0,0,0,0,0,0,0,0.70235546,0,0,0,0,0,0,0,0
23,,,,,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,0,0,0,0.16374269,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.014388489,0,0,0.094650206,0.858204334,0,0,0
24,,,,,,,,,,,,,,,,0,,0,0,0,,0,,,0,0,0,0,0,0.006993007,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872727273,0,0,0
25,,,,,,,,,,,,,,,,,0,,0,0,0,,0.060185185,,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0.814814815,0,0,0,0,0,0,0,0,0,0,0,0
26,,,,,,,,,,,,,,,,,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,,,,,,,,,,,,,,,,,,0,,0,0,0,,0,,,0,0,,0,0,0,0,0,0.125819135,0,,1,0,,0,0,0,0,0,0,0,0,0,0,0.259124088,0,0,0
28,,,,,,,,,,,,,,,,,,,,0.434782609,,0,0.044444444,0,,0,,,0.00456621,0,,,0,0.669117647,0,0,0,0,,,0,,0,0,0,0.08,0.465973535,0.09375,0,0,0,0,0,0,0
29,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,0,,,0,0,,,0.687830688,0,0,0,0,0,,,0,,0,0,0,0,0,1,0,0,0,0,0,0
30,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,,0,,,0,0,,,0,0,0,0,0.895052474,0.51226158,,,0,,0,0,0,0.0625,0,,0,0,0,0,0
31,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0.12596401,,,0,0,,,0,0,0,0,0,0,,,0,,0,0,0.436781609,0,0,,0,0,0,0
