,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
15,,,,,,0,0,0,0,0.064638783,0,0,0.006165228,0,0.006329114,0.004942339,0,0.000978474,0,0,0.003377111,0.002566296,0,0,0.023489933,0,0,0.009174312,0,0,0,0.002417649,0.000533049,0.108819346,0.038966725,0.011280039,0.022988506,0,0.078812538,0,0.003404669,0,0.015088013,0.023082515,0,0.095936043,0.002138466,0,0.030387845,0,0,0.042203465,0,0,0
16,,,,,,,0,0,0,0.019396552,0,0,0.038461538,0,0,0,0.01,0,0,0.004282655,0.003875969,0,0,0.000510204,0.013538749,0.001941748,0,0.040950041,0.007590133,0,0,0.000450045,0,0.016571429,0.044283414,0.083027523,0.025952512,0,0.000851607,0,0,0,0.011916784,0,0,0.004440961,0,0,0.19065597,0,0,0.633718442,0,0,0
17,,,,,,,,0,0,0.001450326,0,0,0,0,0.000648088,0,0.013235294,0,0,0,0,0,0,0,0.103658537,0,0,0,0,0,0,0,0,0.026827632,0,0,0.033992897,0,0.080882353,0,0,0,0,0.024405377,0,0,0,0,0.220409814,0.000874636,0,0.025605536,0,0,0
18,,,,,,,,,0,0,0,0,0,0,0,0.008026756,0,0,0.01759134,0,0.006329114,0.022118743,0,0,0.00194742,0,0,0.018181818,0,0,0,0,0,0.084118016,0,0.01889092,0,0,0,0,0,0,0.066246057,0.021201413,0,0,0,0,0.422705314,0,0,0.150515464,0,0,0
19,,,,,,,,,,0.045112782,0,0,0,0,0,0,0,0,0,0.088455772,0,0,0.008333333,0,0,0,0,0,0.00617284,0.0407911,0,0,0,0.198355601,0.0321065,0.05551676,0,0,0.009458749,0,0,0,0,0,0,0,0,0,0.48206839,0,0,0.266465257,0,0,0
20,,,,,,,,,,,0,0,0,0,0,0,0,0,0.00234192,0,0,0,0.091489362,0.126654064,0,0,0,0.010738255,0.128143133,0,0,0,0,0,0,0,0.000371747,0,0,0,0,0,0,0,0,0.027046784,0,0,0.000775795,0,0,0.789173296,0,0,0
21,,,,,,,,,,,,0,0,0,0.002472188,0,0,0,0,0,0,0.001798561,0,0.012787724,0.048245614,0,0,0,0.008356546,0.011808577,0,0.035019455,0,0.002217295,0,0,0,0,0.016476553,0,0,0,0,0,0,0,0,0,0.30430622,0,0,1,0,0,0
22,,,,,,,,,,,,,0,0,0,0,0,0,0,0.039455782,0.00304878,0,0,0.186192469,0,0,0,0,0,0.293276109,0,0,0,0.000940734,0.002747253,0.187150838,0,0,0.000375516,0,0,0,0,0,0,0.00191022,0,0,0.061892583,0,0,0.223509934,0,0,0
23,,,,,,,,,,,,,,0,0,0,0.013262599,0,0,0,0,0.00617284,0,0.001976285,0,0,0,0,0.006158584,0,0,0,0.003225806,0,0,0.132231405,0,0,0,0,0,0,0,0,0,0.000256608,0,0,0.569520817,0,0,0.018513324,0,0,0
24,,,,,,,,,,,,,,,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049070632,0.027972028,0,0,0.025396825,0,0.02457956,0,0,0,0,0,0,0,0,0,0.04245283,0,0,0.306740028,0,0,0
25,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.038910506,0,0,0,0,0,0,0,0,0.016293279,0.044212219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049778761,0,0,0.919847328,0,0,0
26,,,,,,,,,,,,,,,,,0,0,0,0,0.04,0,0,0.025742574,0,0,0,0,0,0,0,0.392045455,0,0,0.000856898,0,0,0,0.061889251,0,0,0,0.000380662,0.381656805,0,0,0,0,0.098666667,0,0,1.012773723,0,0,0
27,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.004672897,0,0,0,0.128378378,0,0,0,0.006437768,0,0,0,0,0.280602637,0,0,0,0,0,0,0,0,0,0,0,0,0.463054187,0,0,0
28,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.002136752,0,0,0,0,0,0,0,0,0.002159827,0,0,0,0,0,0,0,0,0,0,0,0,0.241469816,0.457017544,0,0,0.054290718,0,0,0
29,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.356589147,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0.011294526,0,0,0,0.270363951,0,0,0.075147929,0,0,0
30,,,,,,,,,,,,,,,,,,,,,0,0,0,0.004576659,0,0,0,0,0,0.259259259,0,0,0,0,0,0,0.06235012,0,0,0,0,0,0,0,0,0,0,0,0.002688172,0,0,0.115217391,0,0,0
31,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.063829787,0,0,0.002183406,0.010810811,0,0.058252427,0,0,0,0,0.005037783,0,0,0.005163511,0,0,0,0,0,0.124018838,0,0.001889466,0.211586902,0,0,0.176090468,0,0,0
32,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.010940919,0,0,0,0,0,0,0,0,0.002557545,0,0,0,0,0,0,0,0,0,0.002859867,0.001597444,0,0.20332937,0,0,0
33,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001746725,0,0,0,0,0,0,0.188585608,0,0,0.005390836,0,0,0.580952381
34,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.013071895,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.006289308,0,0,0,0,0,0,0.036290323,0,0,0.6176,0,0,0
35,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.202312139,0,0,0.199324324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149872123,0,0,0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.039534884,0,0,0,0,0,0,0.35483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353211009,0.001710376,0,0
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.461538462,0,0,0,0,0,0,0,0,0.001806685,0,0,0,0,0,1.315899582,0,0,0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.008474576,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.004132231,0,0,0
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.049065421,0,0,0,0,0,0,0,0.008928571,0,0,0,0,0,0,0.151041667,0,0,0
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003629764,0,0,0
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.951219512,0,0,0,0,0,0,0,0,0,0,0,0.008474576,0,0,0,0,0,0
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446428571,0,0,0.337423313,0.009771987,0,0
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.435897436,0,0,0
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.343915344,0,0,0
