,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
26,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.000404531,0,0.04950495,0,0,0,0,0,0.106617647,0.001795332,0,0,0,0,0,0,0,0,0.003640777,0,0.006525285,0,0,0,0.001485149,0.013874066,0,0,0.149818182,0,0.000193013,0
27,,,,,,,,,,,,,,,,,,0,0,0,0,0.008658009,0.005494505,0,0,0.010452962,0,0.00330033,0,0,0,0,0,0.007434944,0,0.23699422,0.005154639,0,0.846374046,0,0,0.106487148,0,0,0,0,0.044050343,0,0.001984127,0,0,0.155858931,0,0,0
28,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.005882353,0,0,0,0,0.004672897,0,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0,0.018518519,0,0.371108344,0.068693694,0,0,0.078755791,0,0,0
29,,,,,,,,,,,,,,,,,,,,0,0,0.00729927,0,0.019900498,0,0,0,0,0,0,0,0.193548387,0,0,0.0075,0.101123596,0,0,0.024539877,0,0,0,0,0,0,0,0,0,0.008831169,0,0.006461233,0.073647871,0,0,0.139058172
30,,,,,,,,,,,,,,,,,,,,,0,0,0,0.019047619,0,0,0,0,0,0,0,0.004694836,0,0,0.154761905,0,0,0,0.180371353,0.14379085,0,0,0,0,0,0,0,0.005870841,0,0,0,0.007522568,0,0,0.004651163
31,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.006472492,0.067010309,0,0.006060606,0.000896459,0,0,0,0,0,0.025210084,0,0.005037783,0,0,0,0,0,0,0,0,0.163911846,0,0.002293578,0.130434783,0,0.000524109,0.221680877,0.021416804,0,0
32,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.196500673,0,0,0,0,0,0,0,0.020253165,0.006928406,0,0,0.105691057,0,0,0,0,0.001652893,0,0,0,0,0.052072264,0,0,0
33,,,,,,,,,,,,,,,,,,,,,,,,0,0.047619048,0,0,0.027624309,0,0.005208333,0,0,0,0,0,0,0,0,0,0,0,0.175084175,0,0,0,0,0.011049724,0,0.022421525,0,0,0,0,0,0
34,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.001116695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364464692,0,0,0
35,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.009174312,0,0.019036954,0.483146067,0,0,0.12804878,0,0,0,0,0.007228916,0,0,0,0,0,0,0.016759777,0,0,0.034482759,0,0,0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0,0.004385965,0,0,0.006666667,0,0,0,0.460526316,0,0,0,0,0.013927577,0,0,0,0,0,0,0,0,0,0.385321101,0,0,0.008695652
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.008403361,0.085714286,0,0.037974684,0,0.901234568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626666667,0,0,0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.004545455,0.107843137,0,0,0,0,0,0.56097561,0,0,0,0,0.011730205,0,0,0,0,0,0,0,0,0,0,0
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.022129187,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0.054166667,0.005681818,0,0
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.047619048,0.164772727,0,0,0,0,0.001223242,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064935065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075342466,0,0,0,0.037037037,0,0,0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.747663551,0,0,0,0,0,0,0,0,0,0,0,0.014814815,0.002564103,0,0,0,0,0
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.58490566,0,0,0.003699137,0,0,0,0,0,0,0,0,0,0,0,0,0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0.322222222,0,0,0.051413882,0,0,0
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844155844,0,0,0
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.007194245,0,0,0,0,0.00123839,0,0,0,0.012658228,0,0.016393443,0,0,0
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.001250782,0,0,0,0,0.066666667,0,0,0
